City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,42.6,-73.97,78.01,73,75,18.34,thunderstorm
1,Port Elizabeth,-33.92,25.57,57.2,87,98,6.93,overcast clouds
2,San Patricio,19.22,-104.7,87.8,74,40,11.41,scattered clouds
3,Ushuaia,-54.8,-68.3,35.6,69,75,5.82,broken clouds
4,Cape Town,-33.93,18.42,59.0,87,20,6.93,few clouds
5,Maceio,-9.67,-35.74,73.4,83,20,4.7,few clouds
6,San Carlos De Bariloche,-41.15,-71.31,44.6,70,75,11.41,broken clouds
7,Lorengau,-2.02,147.27,79.83,82,98,7.65,moderate rain
8,Provideniya,64.38,-173.3,51.8,81,90,4.47,light intensity drizzle
9,Hilo,19.73,-155.09,78.8,78,90,5.82,moderate rain
10,Ostrovnoy,68.05,39.51,58.3,87,58,15.57,broken clouds
11,Busselton,-33.65,115.33,41.0,83,0,4.85,clear sky
12,Severo-Kurilsk,50.68,156.12,54.27,79,42,2.44,scattered clouds
13,Aswan,24.09,32.91,84.18,25,0,5.17,clear sky
14,Rikitea,-23.12,-134.97,70.66,84,78,20.65,light rain
15,Batagay-Alyta,67.8,130.41,35.06,90,99,7.43,overcast clouds
16,Pozo Colorado,-23.49,-58.8,61.68,74,67,5.95,broken clouds
17,Vardo,70.37,31.11,53.6,93,40,4.7,shower rain
18,Barrow,71.29,-156.79,44.6,81,90,10.29,overcast clouds
19,Hobart,-42.88,147.33,46.0,75,20,5.82,few clouds
20,Leh,34.17,77.58,60.85,28,0,3.78,clear sky
21,Port Alfred,-33.59,26.89,57.65,82,61,10.25,broken clouds
22,Torbay,47.67,-52.73,64.99,55,20,10.29,few clouds
23,Victoria,22.29,114.16,84.0,79,9,8.01,clear sky
24,Moose Factory,51.26,-80.61,55.4,71,1,11.41,clear sky
25,Waingapu,-9.66,120.26,75.7,78,30,5.64,scattered clouds
26,Inta,66.03,60.17,41.63,85,0,4.21,clear sky
27,Lata,40.16,-8.33,68.0,72,0,1.99,clear sky
28,Faanui,-16.48,-151.75,76.89,78,18,17.85,few clouds
29,Port Lincoln,-34.73,135.87,49.87,74,66,3.04,broken clouds
30,Antsohihy,-14.88,47.99,69.4,66,81,9.84,broken clouds
31,Punta Arenas,-53.15,-70.92,33.8,80,75,28.86,broken clouds
32,Nabire,-3.37,135.48,75.92,84,99,2.82,overcast clouds
33,Bondo,3.81,23.69,69.55,89,100,2.08,overcast clouds
34,Biu,10.61,12.19,65.61,100,100,3.49,overcast clouds
35,Arraial Do Cabo,-22.97,-42.03,68.0,68,75,3.36,broken clouds
36,Chokurdakh,70.63,147.92,35.82,84,100,10.65,overcast clouds
37,Ayorou,14.73,0.92,88.97,49,99,15.66,overcast clouds
38,Tasiilaq,65.61,-37.64,39.2,100,0,3.36,mist
39,Najran,17.49,44.13,87.8,19,100,2.24,overcast clouds
40,Butaritari,3.07,172.79,83.1,69,61,10.16,broken clouds
41,Tabou,4.42,-7.35,76.19,81,93,7.9,overcast clouds
42,Alofi,-19.06,-169.92,78.8,69,40,19.46,scattered clouds
43,Chuy,-33.7,-53.46,53.42,86,0,10.49,clear sky
44,Pavlikeni,43.24,25.32,70.0,77,23,4.7,few clouds
45,Leningradskiy,69.38,178.42,44.29,86,98,12.86,overcast clouds
46,Mataura,-46.19,168.86,53.01,91,12,4.0,few clouds
47,Coihaique,-45.58,-72.07,37.4,86,90,5.82,overcast clouds
48,Bluff,-46.6,168.33,53.01,91,35,4.0,scattered clouds
49,Haines Junction,60.75,-137.51,63.77,51,77,5.35,broken clouds
50,Sur,22.57,59.53,79.25,78,46,11.1,scattered clouds
51,Komsomolskiy,40.43,71.72,73.4,43,0,9.17,clear sky
52,Tilaran,10.47,-84.97,78.8,83,75,13.87,broken clouds
53,Tiksi,71.69,128.87,40.1,75,96,12.03,overcast clouds
54,Carnarvon,-24.87,113.63,60.8,82,0,12.75,clear sky
55,Pevek,69.7,170.31,37.62,96,100,2.73,light rain
56,Tsivilsk,55.86,47.47,60.8,67,40,6.71,scattered clouds
57,Mount Gambier,-37.83,140.77,41.0,93,75,6.93,broken clouds
58,Iqaluit,63.75,-68.51,46.4,75,40,5.82,scattered clouds
59,Lagoa,39.05,-27.98,73.17,90,0,14.54,clear sky
60,Hermanus,-34.42,19.23,55.99,95,100,6.53,overcast clouds
61,Kuznechnoye,61.12,29.87,62.01,93,94,6.08,light rain
62,Tessalit,20.2,1.01,90.43,38,92,17.13,overcast clouds
63,Talnakh,69.49,88.4,60.8,67,100,8.95,overcast clouds
64,Kamenka,51.32,42.77,52.0,81,0,0.27,clear sky
65,Moyamba,8.17,-12.43,73.62,96,100,3.33,light rain
66,Russell,32.35,-85.2,78.8,88,20,3.36,light intensity drizzle
67,Hammerfest,70.66,23.68,51.8,100,75,16.11,drizzle
68,Ancud,-41.87,-73.82,46.4,93,90,9.17,overcast clouds
69,Bonavista,48.65,-53.11,60.01,86,54,1.01,broken clouds
70,Mar Del Plata,-38.0,-57.56,50.0,87,0,16.11,clear sky
71,Dakoro,14.51,6.76,84.78,58,68,10.54,broken clouds
72,Matara,5.95,80.54,77.25,87,35,4.52,scattered clouds
73,Kodiak,57.79,-152.41,60.8,77,90,4.7,overcast clouds
